Report ID,Report Version,Make,Model,Model Year,ADS Equipped?,Automation System Engaged?,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Posted Speed Limit (MPH),Lighting,Crash With,Highest Injury Severity Alleged,SV Pre-Crash Movement,Weather,SV Contact Area,Country
10003-2800,4,International,LT,2022.0,No,,2025-11-21,19:57:00,Maxatawny Tounship,PA ,Street,Dry,25.0,Dark - Not Lighted,Other Fixed Object,,Proceeding Straight,,Front,US
10003-2932,1,International,LT,2022.0,Yes,,2021-11-21,19:57:00,Maxatawny Township,PA ,Street,Dry,25.0,Dark - Not Lighted,Other Fixed Object,,Proceeding Straight,,Front,US
10003-3210,1,International,LT625,2021.0,Yes,,2022-04-21,15:52:00,Tucson,AZ ,Highway / Freeway,Dry,65.0,Daylight,Other Fixed Object,No Injuries Reported,Proceeding Straight,Clear,Front,US
10003-4179,1,International,LT,2022.0,No,ADAS,2025-10-22,15:09:00,,MD ,Highway / Freeway,Dry,65.0,Daylight,Passenger Car,,Proceeding Straight,Clear,Front,US
10003-6050,2,International,LT625,2022.0,No,,2025-12-22,08:20:00,Natural Bridge,VA ,Highway / Freeway,Dry,70.0,Daylight,Other Fixed Object,No Injuries Reported,Proceeding Straight,Clear,"Back, Front, Nearside, Offside",US
10039-10291,3,BMW,i5 xDrive40,,No,ADAS,2025-03-25,16:15:00,Washington,NJ ,Highway / Freeway,Dry,,Daylight,Other Fixed Object,Minor,Changing Lanes,Clear,Front,US
10039-10316,4,BMW,XM,2023.0,No,ADAS,2025-03-25,14:06:00,Benton County,AR ,Highway / Freeway,,65.0,,First Responder Vehicle,Minor,,,"Back, Front",US
10039-1520,4,BMW,X5M,2021.0,No,ADAS,2025-08-21,,sacramento,CA ,,,,,,,,,,US
10039-3261,4,BMW,540i,2022.0,No,,2025-06-22,13:27:00,Watermill,NY ,Highway / Freeway,,,,Heavy Truck,Minor,Proceeding Straight,,Front,US
10039-3997,3,BMW,X5 sDrive40i,2020.0,No,ADAS,2025-05-22,22:25:00,Refugio,TX ,Highway / Freeway,,75.0,,Pole / Tree,Serious,Proceeding Straight,Clear,Front,US
10039-4636,4,BMW,X5,2022.0,No,ADAS,2025-12-22,07:05:00,Fairfield,CA ,Highway / Freeway,,,,Other Fixed Object,Minor,Lane / Road Departure,,Front,US
