Report ID,Report Version,Make,Model,Model Year,ADS Equipped?,Automation System Engaged?,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Posted Speed Limit (MPH),Lighting,Crash With,Highest Injury Severity Alleged,SV Pre-Crash Movement,Weather,SV Contact Area,Country,Incident_Year,Incident_Month,Incident_DayOfWeek
0.0,3.0,1.0,144.0,9.0,0.0,0.0,50760,72.0,1.0,0.0,0.0,6.0,3.0,2.0,1.0,13.0,0.0,10.0,0.0,2025,3,1
1.0,2.0,1.0,140.0,6.0,0.0,0.0,80700,949.0,43.0,0.0,0.0,8.0,3.0,12.0,4.0,13.0,0.0,31.0,0.0,2025,5,3
2.0,3.0,1.0,139.0,8.0,0.0,0.0,25500,363.0,3.0,0.0,0.0,6.0,1.0,8.0,1.0,4.0,0.0,31.0,0.0,2025,12,0
3.0,3.0,1.0,148.0,9.0,0.0,0.0,21600,65.0,19.0,0.0,0.0,6.0,4.0,8.0,3.0,13.0,9.0,11.0,0.0,2025,12,1
4.0,2.0,1.0,141.0,5.0,0.0,0.0,10860,697.0,8.0,0.0,0.0,6.0,4.0,9.0,1.0,1.0,10.0,15.0,0.0,2025,7,0
5.0,2.0,45.0,31.0,8.0,0.0,0.0,46800,1026.0,9.0,1.0,0.0,4.0,3.0,13.0,1.0,13.0,0.0,31.0,0.0,2025,12,6
6.0,1.0,21.0,57.0,7.0,0.0,0.0,57600,611.0,13.0,0.0,0.0,6.0,3.0,11.0,3.0,14.0,0.0,15.0,0.0,2025,11,4
7.0,1.0,9.0,32.0,10.0,0.0,0.0,36000,56.0,19.0,1.0,0.0,3.0,3.0,13.0,1.0,5.0,0.0,19.0,0.0,2025,9,2
8.0,1.0,11.0,22.0,11.0,0.0,0.0,7620,1065.0,34.0,0.0,0.0,6.0,1.0,9.0,1.0,4.0,0.0,15.0,0.0,2025,2,1
9.0,1.0,11.0,30.0,7.0,1.0,1.0,59580,0.0,31.0,0.0,0.0,6.0,3.0,9.0,3.0,13.0,4.0,40.0,0.0,2022,7,2
10.0,1.0,13.0,30.0,8.0,0.0,0.0,10800,564.0,11.0,0.0,0.0,6.0,3.0,9.0,3.0,9.0,0.0,31.0,0.0,2025,7,1
11.0,0.0,13.0,30.0,7.0,1.0,1.0,45540,1036.0,31.0,0.0,0.0,8.0,3.0,9.0,3.0,13.0,0.0,21.0,0.0,2022,7,2
12.0,3.0,11.0,30.0,8.0,0.0,0.0,43020,607.0,40.0,0.0,0.0,6.0,3.0,3.0,3.0,13.0,0.0,22.0,0.0,2025,1,3
13.0,0.0,13.0,30.0,9.0,1.0,1.0,52500,1202.0,43.0,0.0,3.0,8.0,3.0,0.0,3.0,13.0,8.0,31.0,0.0,2023,12,2
14.0,1.0,11.0,30.0,9.0,0.0,0.0,32640,631.0,16.0,0.0,0.0,7.0,3.0,3.0,4.0,13.0,0.0,31.0,0.0,2025,9,1
15.0,1.0,47.0,52.0,8.0,0.0,0.0,45000,1236.0,3.0,0.0,0.0,6.0,3.0,8.0,1.0,13.0,0.0,10.0,0.0,2025,2,1
16.0,3.0,47.0,95.0,6.0,0.0,0.0,36000,1259.0,49.0,0.0,0.0,7.0,3.0,8.0,3.0,13.0,0.0,11.0,0.0,2025,8,3
17.0,0.0,47.0,95.0,6.0,0.0,0.0,59700,921.0,19.0,0.0,0.0,4.0,3.0,12.0,2.0,13.0,0.0,11.0,0.0,2025,3,1
18.0,2.0,47.0,36.0,7.0,0.0,0.0,58680,724.0,11.0,0.0,0.0,7.0,3.0,8.0,3.0,13.0,0.0,11.0,0.0,2025,9,6
19.0,4.0,47.0,36.0,7.0,0.0,0.0,21960,1258.0,33.0,0.0,0.0,6.0,2.0,3.0,1.0,13.0,0.0,31.0,0.0,2025,8,3
20.0,3.0,47.0,52.0,7.0,0.0,0.0,55500,967.0,3.0,0.0,0.0,6.0,3.0,10.0,1.0,13.0,0.0,31.0,0.0,2025,10,1
21.0,2.0,47.0,52.0,6.0,0.0,0.0,4500,655.0,23.0,4.0,0.0,4.0,3.0,12.0,1.0,13.0,0.0,31.0,0.0,2025,10,1
22.0,4.0,47.0,52.0,7.0,0.0,0.0,26280,294.0,3.0,0.0,0.0,6.0,3.0,0.0,1.0,13.0,4.0,31.0,0.0,2025,10,1
23.0,2.0,47.0,52.0,6.0,0.0,0.0,50400,465.0,24.0,0.0,0.0,7.0,3.0,0.0,3.0,13.0,0.0,31.0,0.0,2025,12,6
24.0,2.0,47.0,52.0,6.0,0.0,0.0,29460,985.0,16.0,0.0,0.0,7.0,0.0,0.0,3.0,13.0,0.0,31.0,0.0,2025,11,4
