Report ID,Report Version,Make,Model,Model Year,Mileage,ADS Equipped?,Automation System Engaged?,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Lighting,Crash With,Highest Injury Severity Alleged,Property Damage?,SV Pre-Crash Movement,SV Precrash Speed (MPH),Within ODD?,CP Contact Area,Weather,SV Contact Area,Country
10003-2800,4,International,LT,2022-01-01,56429.0,No,"Unknown, see Narrative",2025-11-21,19:57:00,Maxatawny Tounship,PA ,Street,Dry,No Unusual Conditions,25.0,Dark - Not Lighted,Other Fixed Object,Unknown,Yes,Proceeding Straight,,"Unknown, see Narrative",Missing,Missing,Front,US
10003-2932,1,International,LT,2022-01-01,56429.0,Yes,"Unknown, see Narrative",2021-11-26,19:57:00,Maxatawny Township,PA ,Street,Dry,No Unusual Conditions,25.0,Dark - Not Lighted,Other Fixed Object,Unknown,Yes,Proceeding Straight,,"Unknown, see Narrative",Missing,Missing,Front,US
10003-3210,1,International,LT625,2021-01-01,78762.0,Yes,"Unknown, see Narrative",2022-04-26,15:52:00,Tucson,AZ ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Daylight,Other Fixed Object,No Injuries Reported,Yes,Proceeding Straight,65.0,Yes,Missing,Clear,Front Left,US
10003-4179,1,International,LT,2022-01-01,39226.0,No,ADAS,2025-10-22,15:09:00,Missing,MD ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Daylight,Passenger Car,Unknown,Yes,Proceeding Straight,,"Unknown, see Narrative",Front Right,Clear,Front Left,US
10003-6050,2,International,LT625,2022-01-01,,No,"Unknown, see Narrative",2025-12-22,08:20:00,Natural Bridge,VA ,Highway / Freeway,Dry,No Unusual Conditions,70.0,Daylight,Other Fixed Object,No Injuries Reported,Yes,Proceeding Straight,55.0,"Unknown, see Narrative",Missing,Clear,"Rear Left, Left, Front Left, Front, Rear Right, Right, Front Right",US
10039-10291,3,BMW,i5 xDrive40,,18124.0,No,ADAS,2025-03-25,16:15:00,Washington,NJ ,Highway / Freeway,Dry,Unknown,,Daylight,Other Fixed Object,Minor,No,Changing Lanes,75.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,"Front Left, Front, Front Right",US
10039-10316,4,BMW,XM,2023-01-01,30958.0,No,ADAS,2025-03-25,14:06:00,Benton County,AR ,Highway / Freeway,Unknown,Traffic Incident,65.0,Unknown,First Responder Vehicle,Minor,Unknown,Unknown,69.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Rear Left, Left, Rear, Rear Right",Missing,"Rear Left, Front Left, Front, Front Right",US
10039-1520,4,BMW,X5M,2021-01-01,,No,ADAS,2025-08-21,,sacramento,CA ,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,72.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Missing,Missing,US
10039-1548,5,BMW,530i,2021-01-01,,No,ADAS,,,Houston,TX ,Highway / Freeway,"Other, see Narrative","Other, see Narrative",,"Other, see Narrative",Other Fixed Object,No Injuries Reported,Unknown,"Other, see Narrative",,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Other,Missing,US
10039-3261,4,BMW,540i,2022-01-01,2273.0,No,"Unknown, see Narrative",2025-06-22,13:27:00,Watermill,NY ,Highway / Freeway,Unknown,Unknown,,Unknown,Heavy Truck,Minor,No,Proceeding Straight,,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Missing,"Front, Front Right",US
10039-3997,3,BMW,X5 sDrive40i,2020-01-01,27161.0,No,ADAS,2025-05-22,22:25:00,Refugio,TX ,Highway / Freeway,Unknown,Unknown,75.0,Dark - Unknown Lighting,Pole / Tree,Serious,No,Proceeding Straight,82.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,"Front, Front Right",US
10039-4636,4,BMW,X5,2022-01-01,5135.0,No,ADAS,2025-12-22,07:05:00,Fairfield,CA ,Highway / Freeway,Unknown,Work Zone,,Unknown,Other Fixed Object,Minor,Unknown,Lane / Road Departure,70.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Missing,"Front, Front Right",US
10039-4932,5,BMW,745e xDrive,2020-01-01,,No,ADAS,2025-02-23,,Waltham,MA ,Highway / Freeway,Unknown,Unknown,,Unknown,Passenger Car,No Injuries Reported,Unknown,Lane / Road Departure,63.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Missing,"Front Left, Front, Front Right",US
10039-5057,4,BMW,X5 M50i,2022-01-01,,No,ADAS,2025-03-23,,Phoenix,AZ ,Highway / Freeway,Unknown,Unknown,,Unknown,Van,Moderate,Unknown,Proceeding Straight,84.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Rear Left, Rear",Missing,"Front Left, Front, Front Right",US
10039-6029,5,BMW,iX xDrive50,2023-01-01,13367.0,No,ADAS,2025-05-23,06:00:00,Missing,NJ ,Highway / Freeway,Dry,Unknown,,Daylight,Other Fixed Object,No Injuries Reported,No,"Other, see Narrative",33.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,"Rear Left, Left, Front Left, Front, Front Right",US
10039-6771,3,BMW,X5 xDrive45e,2021-01-01,55507.0,No,ADAS,2025-12-23,,Paramus,NJ ,Highway / Freeway,Wet,No Unusual Conditions,,Dawn / Dusk,Other Fixed Object,Minor,Unknown,Proceeding Straight,72.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Rain,"Rear Left, Left, Front Left, Rear, Front, Front Right",US
10039-6833,4,BMW,iX xDrive50,2023-01-01,19052.0,No,ADAS,2025-12-23,06:00:00,Bel Air,MD ,Highway / Freeway,Unknown,Unknown,,"Other, see Narrative",Other Fixed Object,No Injuries Reported,Yes,Proceeding Straight,59.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Fog/Smoke,"Rear Left, Left, Front Left, Front, Front Right",US
10039-7994,3,BMW,M440i xDrive Coupe,2021-01-01,28374.0,No,"Unknown, see Narrative",2025-06-24,15:30:00,Coco Beach,FL ,Highway / Freeway,Wet,Traffic Incident,,Unknown,Heavy Truck,Minor,Unknown,Proceeding Straight,79.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Rain,"Rear Left, Front Left, Front, Front Right",US
