Report ID,Report Version,Make,Model,Model Year,Same Vehicle ID,Mileage,ADS Equipped?,Automation System Engaged?,Incident Date,Incident Time (24:00),Same Incident ID,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Lighting,Crash With,Highest Injury Severity Alleged,Property Damage?,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Precrash Speed (MPH),Source Dataset,CP Contact Area,Weather,SV Contact Area
30410-3043,1,Hyundai,Ioniq 5,2022-01-01 00:00:00,Missing,6742.0,Yes,ADS,2022-05-01,12:58:00,Missing,Street,Dry,No Unusual Conditions,15.0,Daylight,"Other, see Narrative",No Injuries Reported,No,Proceeding Straight,No,8.0,ADS,Missing,Weather - Clear,SV Contact Area - Front Left
13781-3301,2,Tesla,Model 3,2021-01-01 00:00:00,bfdb35901b2efda,23108.0,No,ADAS,2022-07-01,11:46:00,0004894d4bb6897,Intersection,Dry,No Unusual Conditions,45.0,Dark - Lighted,Other Fixed Object,Unknown,Yes,Proceeding Straight,No,20.0,ADAS,Missing,Weather - Clear,"SV Contact Area - Front Left, SV Contact Area - Front, SV Contact Area - Front Right"
13781-5973,1,Tesla,Model 3,2018-01-01 00:00:00,05853ab9f48d962,35575.0,No,ADAS,2023-07-01,16:54:00,000c5f5ebb15852,Unknown,Unknown,Unknown,65.0,Unknown,Unknown,Unknown,Yes,Proceeding Straight,Yes,39.0,ADAS,Missing,Missing,Missing
502-8983,1,Ford,Mach-E,2024-01-01 00:00:00,4510d0a55a2731e,848.0,No,ADAS,2024-10-01,09:01:00,00103fcbcf2e0dc,Highway / Freeway,Unknown,No Unusual Conditions,35.0,Dawn / Dusk,Other Fixed Object,No Injuries Reported,Yes,Proceeding Straight,No,60.0,ADAS,Missing,Missing,"SV Contact Area - Front Left, SV Contact Area - Front"
13781-9643,1,Tesla,Model Y,2021-01-01 00:00:00,81265517eb037e9,26681.0,No,ADAS,2024-12-01,05:22:00,00193c057d09981,Highway / Freeway,Dry,No Unusual Conditions,55.0,Dark - Lighted,"Other, see Narrative",Unknown,Yes,Lane / Road Departure,Yes,50.0,ADAS,Missing,Weather - Clear,"SV Contact Area - Front Left, SV Contact Area - Front, SV Contact Area - Front Right, SV Contact Area - Bottom"
13781-9368,1,Tesla,Model S,2022-01-01 00:00:00,a93be656bda3a45,72254.0,No,ADAS,2024-12-01,06:03:00,002f2fcba7cfe16,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted,"Other, see Narrative",Unknown,Yes,"Other, see Narrative",Yes,54.0,ADAS,Missing,Weather - Clear,"SV Contact Area - Front Left, SV Contact Area - Front, SV Contact Area - Front Right"
1243-7274,2,Subaru,Outback,2024-01-01 00:00:00,35fd836e73a81cf,2229.0,No,ADAS,2024-03-01,13:45:00,00363b910ec53c3,Highway / Freeway,Dry,No Unusual Conditions,65.0,Daylight,Other Fixed Object,No Injuries Reported,Yes,Proceeding Straight,Yes,62.0,ADAS,Missing,Weather - Clear,"SV Contact Area - Rear Left, SV Contact Area - Left, SV Contact Area - Front Left"
30270-2793,2,Jaguar,I-Pace,2021-01-01 00:00:00,fcd7d30508e9fce,9310.0,Yes,ADS,2022-04-01,02:31:00,005df94ebd26d4e,Parking Lot,Dry,No Unusual Conditions,25.0,Dark - Lighted,"Other, see Narrative",No Injuries Reported,Yes,Making Left Turn,No,9.0,ADS,Missing,Weather - Clear,SV Contact Area - Bottom
13781-4564,2,Tesla,Model Y,2021-01-01 00:00:00,5651e243f383094,25886.0,No,ADAS,2022-12-01,06:25:00,006c46917a2f617,Highway / Freeway,Wet,No Unusual Conditions,65.0,Dark - Not Lighted,Unknown,Unknown,Yes,Proceeding Straight,Yes,18.0,ADAS,Missing,"Weather - Cloudy, Weather - Rain",Missing
30412-6614,1,Cruise,AV,2023-01-01 00:00:00,04d7711d5ebebe0,12551.0,Yes,ADS,2023-10-01,01:51:00,0094d46307334a0,Intersection,Dry,No Unusual Conditions,25.0,Dark - Lighted,Pickup Truck,No Injuries Reported,Yes,Stopped,No,0.0,ADS,CP Contact Area - Front Left,Weather - Clear,SV Contact Area - Rear Right
